# ## ## ## ##X#
 R X  X  X  X X
# ##X##X##X##X#
#X##X## ## ##X#
X XX X   X  X X
#X##X## ## ##X#
# ## ## ##X## #
               
# ## ## ##X## #
# ##X## ##X##X#
   X X   X  X X
# ##X## ##X##X#
# ##X## ## ## #
   X X   X X   
# ##X## ##X## #

episode  105 score 9818.00 average score 7571.97 epsilon 0.05
episode  106 score -428.00 average score 7468.24 epsilon 0.05
episode  107 score -300.00 average score 7365.01 epsilon 0.05
episode  108 score 9960.00 average score 7468.65 epsilon 0.05
episode  109 score 10020.00 average score 7472.32 epsilon 0.05
episode  110 score 10084.00 average score 7577.28 epsilon 0.05
episode  111 score 9853.00 average score 7679.93 epsilon 0.05
episode  112 score -444.00 average score 7679.93 epsilon 0.05
episode  113 score 9904.00 average score 7783.97 epsilon 0.05
episode  114 score 9656.00 average score 7782.18 epsilon 0.05
episode  115 score 9922.00 average score 7783.13 epsilon 0.05
episode  116 score 9837.00 average score 7783.86 epsilon 0.05
episode  117 score -300.00 average score 7682.20 epsilon 0.05
episode  118 score 9959.00 average score 7682.61 epsilon 0.05
episode  119 score 9635.00 average score 7678.54 epsilon 0.05
episode  120 score 9973.00 average score 7680.78 epsilon 0.05
episode  121 score 9952.00 average score 7683.11 epsilon 0.05
episode  122 score 10073.00 average score 7686.43 epsilon 0.05
episode  123 score 9910.00 average score 7687.47 epsilon 0.05
episode  124 score 9790.00 average score 7686.87 epsilon 0.05
episode  125 score 9956.00 average score 7689.08 epsilon 0.05
episode  126 score 9853.00 average score 7688.91 epsilon 0.05
episode  127 score 10074.00 average score 7692.05 epsilon 0.05
episode  128 score 10057.00 average score 7693.64 epsilon 0.05
episode  129 score 9767.00 average score 7690.37 epsilon 0.05
episode  130 score 9834.00 average score 7691.53 epsilon 0.05
episode  131 score -404.00 average score 7587.61 epsilon 0.05
episode  132 score 9903.00 average score 7589.14 epsilon 0.05
episode  133 score 9970.00 average score 7590.14 epsilon 0.05
episode  134 score 9873.00 average score 7589.53 epsilon 0.05
episode  135 score -372.00 average score 7484.94 epsilon 0.05
episode  136 score 9773.00 average score 7485.24 epsilon 0.05
episode  137 score 9934.00 average score 7483.64 epsilon 0.05
episode  138 score 10101.00 average score 7588.21 epsilon 0.05
