#X##X##X##X##X#
XRX  X  X  XX X
#X## ## ## ##X#
#X##X##X##X##X#
X X  X  X  XX X
# ## ## ##X##X#
#X##X##X##X##X#
X X  X  XX XX X
# ## ##X##X##X#
#X##X##X##X##X#
X X  XX XX XX X
# ##X##X##X##X#
#X##X##X##X##X#
X XX XX XX XX X
#X##X##X##X##X#

episode  111 score -300.00 average score -303.84 epsilon 0.01
episode  112 score -304.00 average score -303.84 epsilon 0.01
episode  113 score -300.00 average score -303.76 epsilon 0.01
episode  114 score -300.00 average score -303.76 epsilon 0.01
episode  115 score -300.00 average score -303.72 epsilon 0.01
episode  116 score -304.00 average score -303.72 epsilon 0.01
episode  117 score -300.00 average score -303.64 epsilon 0.01
episode  118 score -308.00 average score -303.68 epsilon 0.01
episode  119 score -304.00 average score -303.68 epsilon 0.01
episode  120 score -308.00 average score -303.76 epsilon 0.01
episode  121 score -304.00 average score -303.72 epsilon 0.01
episode  122 score -300.00 average score -303.68 epsilon 0.01
episode  123 score -304.00 average score -303.64 epsilon 0.01
episode  124 score -304.00 average score -303.64 epsilon 0.01
episode  125 score -300.00 average score -303.60 epsilon 0.01
episode  126 score -300.00 average score -303.56 epsilon 0.01
episode  127 score -300.00 average score -303.52 epsilon 0.01
episode  128 score -304.00 average score -303.52 epsilon 0.01
episode  129 score -300.00 average score -303.48 epsilon 0.01
episode  130 score -300.00 average score -303.40 epsilon 0.01
episode  131 score -304.00 average score -303.44 epsilon 0.01
episode  132 score -308.00 average score -303.48 epsilon 0.01
episode  133 score -308.00 average score -303.56 epsilon 0.01
episode  134 score -300.00 average score -303.52 epsilon 0.01
episode  135 score -304.00 average score -303.36 epsilon 0.01
episode  136 score -304.00 average score -303.32 epsilon 0.01
episode  137 score -300.00 average score -303.32 epsilon 0.01
episode  138 score -304.00 average score -303.32 epsilon 0.01
episode  139 score -308.00 average score -303.40 epsilon 0.01
episode  140 score -308.00 average score -303.48 epsilon 0.01
episode  141 score -308.00 average score -303.56 epsilon 0.01
episode  142 score -308.00 average score -303.52 epsilon 0.01
episode  143 score -300.00 average score -303.48 epsilon 0.01
episode  144 score -304.00 average score -303.52 epsilon 0.01
episode  145 score -300.00 average score -303.48 epsilon 0.01
episode  146 score -300.00 average score -303.48 epsilon 0.01
episode  147 score -300.00 average score -303.48 epsilon 0.01
episode  148 score -300.00 average score -303.44 epsilon 0.01
episode  149 score -300.00 average score -303.36 epsilon 0.01
episode  150 score -300.00 average score -303.36 epsilon 0.01
episode  151 score -308.00 average score -303.40 epsilon 0.01
episode  152 score -308.00 average score -303.48 epsilon 0.01
episode  153 score -304.00 average score -303.48 epsilon 0.01
episode  154 score -304.00 average score -303.48 epsilon 0.01
episode  155 score -300.00 average score -303.40 epsilon 0.01
episode  156 score -300.00 average score -303.36 epsilon 0.01
episode  157 score -304.00 average score -303.40 epsilon 0.01
episode  158 score -300.00 average score -303.36 epsilon 0.01
episode  159 score -300.00 average score -303.28 epsilon 0.01
episode  160 score -308.00 average score -303.36 epsilon 0.01
episode  161 score -300.00 average score -303.36 epsilon 0.01
episode  162 score -300.00 average score -303.36 epsilon 0.01
episode  163 score -304.00 average score -303.32 epsilon 0.01
episode  164 score -304.00 average score -303.36 epsilon 0.01
episode  165 score -308.00 average score -303.44 epsilon 0.01
episode  166 score -300.00 average score -303.44 epsilon 0.01
episode  167 score -304.00 average score -303.44 epsilon 0.01
episode  168 score -300.00 average score -303.44 epsilon 0.01
episode  169 score -300.00 average score -303.44 epsilon 0.01
episode  170 score -300.00 average score -303.44 epsilon 0.01
episode  171 score -304.00 average score -303.40 epsilon 0.01
episode  172 score -304.00 average score -303.40 epsilon 0.01
episode  173 score -300.00 average score -303.32 epsilon 0.01
episode  174 score -304.00 average score -303.36 epsilon 0.01
episode  175 score -304.00 average score -303.36 epsilon 0.01
episode  176 score -304.00 average score -303.40 epsilon 0.01
episode  177 score -308.00 average score -303.48 epsilon 0.01
episode  178 score -308.00 average score -303.48 epsilon 0.01
episode  179 score -300.00 average score -303.48 epsilon 0.01
episode  180 score -300.00 average score -303.44 epsilon 0.01
episode  181 score -308.00 average score -303.44 epsilon 0.01
episode  182 score -312.00 average score -303.52 epsilon 0.01
episode  183 score -304.00 average score -303.56 epsilon 0.01
episode  184 score -304.00 average score -303.52 epsilon 0.01
episode  185 score -300.00 average score -303.52 epsilon 0.01
episode  186 score -304.00 average score -303.52 epsilon 0.01
episode  187 score -304.00 average score -303.52 epsilon 0.01
episode  188 score -300.00 average score -303.44 epsilon 0.01
episode  189 score -304.00 average score -303.48 epsilon 0.01
episode  190 score -300.00 average score -303.40 epsilon 0.01
episode  191 score -308.00 average score -303.48 epsilon 0.01
episode  192 score -300.00 average score -303.40 epsilon 0.01
episode  193 score -304.00 average score -303.40 epsilon 0.01
episode  194 score -308.00 average score -303.44 epsilon 0.01
episode  195 score -300.00 average score -303.40 epsilon 0.01
episode  196 score -300.00 average score -303.36 epsilon 0.01
episode  197 score -304.00 average score -303.32 epsilon 0.01
episode  198 score -312.00 average score -303.40 epsilon 0.01
episode  199 score -308.00 average score -303.48 epsilon 0.01
episode  200 score -304.00 average score -303.52 epsilon 0.01
episode  201 score -308.00 average score -303.52 epsilon 0.01
episode  202 score -304.00 average score -303.48 epsilon 0.01
episode  203 score -304.00 average score -303.48 epsilon 0.01
episode  204 score -304.00 average score -303.48 epsilon 0.01
episode  205 score -300.00 average score -303.44 epsilon 0.01
episode  206 score -300.00 average score -303.36 epsilon 0.01
episode  207 score -300.00 average score -303.28 epsilon 0.01
episode  208 score -304.00 average score -303.24 epsilon 0.01
episode  209 score -304.00 average score -303.28 epsilon 0.01
episode  210 score -304.00 average score -303.24 epsilon 0.01
episode  211 score -304.00 average score -303.28 epsilon 0.01
episode  212 score -304.00 average score -303.28 epsilon 0.01
episode  213 score -304.00 average score -303.32 epsilon 0.01
episode  214 score -300.00 average score -303.32 epsilon 0.01
episode  215 score -300.00 average score -303.32 epsilon 0.01
episode  216 score -312.00 average score -303.40 epsilon 0.01
episode  217 score -308.00 average score -303.48 epsilon 0.01
episode  218 score -316.00 average score -303.56 epsilon 0.01
episode  219 score -300.00 average score -303.52 epsilon 0.01
episode  220 score -304.00 average score -303.48 epsilon 0.01
episode  221 score -308.00 average score -303.52 epsilon 0.01
episode  222 score -304.00 average score -303.56 epsilon 0.01
episode  223 score -304.00 average score -303.56 epsilon 0.01
episode  224 score -308.00 average score -303.60 epsilon 0.01
episode  225 score -316.00 average score -303.76 epsilon 0.01
episode  226 score -300.00 average score -303.76 epsilon 0.01
episode  227 score -300.00 average score -303.76 epsilon 0.01
episode  228 score -312.00 average score -303.84 epsilon 0.01
episode  229 score -300.00 average score -303.84 epsilon 0.01
episode  230 score -300.00 average score -303.84 epsilon 0.01
episode  231 score -304.00 average score -303.84 epsilon 0.01
episode  232 score -308.00 average score -303.84 epsilon 0.01
episode  233 score -308.00 average score -303.84 epsilon 0.01
episode  234 score -300.00 average score -303.84 epsilon 0.01
episode  235 score -300.00 average score -303.80 epsilon 0.01
episode  236 score -300.00 average score -303.76 epsilon 0.01
episode  237 score -304.00 average score -303.80 epsilon 0.01
episode  238 score -300.00 average score -303.76 epsilon 0.01
episode  239 score -312.00 average score -303.80 epsilon 0.01
episode  240 score -300.00 average score -303.72 epsilon 0.01
episode  241 score -300.00 average score -303.64 epsilon 0.01
episode  242 score -300.00 average score -303.56 epsilon 0.01
episode  243 score -304.00 average score -303.60 epsilon 0.01
episode  244 score -308.00 average score -303.64 epsilon 0.01
episode  245 score -300.00 average score -303.64 epsilon 0.01
episode  246 score -304.00 average score -303.68 epsilon 0.01
episode  247 score -304.00 average score -303.72 epsilon 0.01
episode  248 score -304.00 average score -303.76 epsilon 0.01
episode  249 score -308.00 average score -303.84 epsilon 0.01
episode  250 score -300.00 average score -303.84 epsilon 0.01
episode  251 score -300.00 average score -303.76 epsilon 0.01
episode  252 score -304.00 average score -303.72 epsilon 0.01
episode  253 score -300.00 average score -303.68 epsilon 0.01
episode  254 score -300.00 average score -303.64 epsilon 0.01
episode  255 score -304.00 average score -303.68 epsilon 0.01
episode  256 score -304.00 average score -303.72 epsilon 0.01
episode  257 score -304.00 average score -303.72 epsilon 0.01
episode  258 score -300.00 average score -303.72 epsilon 0.01
episode  259 score -308.00 average score -303.80 epsilon 0.01
episode  260 score -300.00 average score -303.72 epsilon 0.01
episode  261 score -304.00 average score -303.76 epsilon 0.01
episode  262 score -308.00 average score -303.84 epsilon 0.01
episode  263 score -308.00 average score -303.88 epsilon 0.01
episode  264 score -312.00 average score -303.96 epsilon 0.01
episode  265 score -308.00 average score -303.96 epsilon 0.01
episode  266 score -308.00 average score -304.04 epsilon 0.01
episode  267 score -304.00 average score -304.04 epsilon 0.01
episode  268 score -304.00 average score -304.08 epsilon 0.01
episode  269 score -308.00 average score -304.16 epsilon 0.01
episode  270 score -316.00 average score -304.32 epsilon 0.01
episode  271 score -300.00 average score -304.28 epsilon 0.01
episode  272 score -300.00 average score -304.24 epsilon 0.01
episode  273 score -312.00 average score -304.36 epsilon 0.01
episode  274 score -300.00 average score -304.32 epsilon 0.01
episode  275 score -304.00 average score -304.32 epsilon 0.01
episode  276 score -304.00 average score -304.32 epsilon 0.01
episode  277 score -300.00 average score -304.24 epsilon 0.01
episode  278 score -300.00 average score -304.16 epsilon 0.01
episode  279 score -304.00 average score -304.20 epsilon 0.01
episode  280 score -304.00 average score -304.24 epsilon 0.01
episode  281 score -304.00 average score -304.20 epsilon 0.01
episode  282 score -316.00 average score -304.24 epsilon 0.01
episode  283 score -304.00 average score -304.24 epsilon 0.01
episode  284 score -300.00 average score -304.20 epsilon 0.01
episode  285 score -300.00 average score -304.20 epsilon 0.01
episode  286 score -304.00 average score -304.20 epsilon 0.01
episode  287 score -300.00 average score -304.16 epsilon 0.01
episode  288 score -308.00 average score -304.24 epsilon 0.01
episode  289 score -304.00 average score -304.24 epsilon 0.01
episode  290 score -300.00 average score -304.24 epsilon 0.01
episode  291 score -304.00 average score -304.20 epsilon 0.01
episode  292 score -304.00 average score -304.24 epsilon 0.01
episode  293 score -308.00 average score -304.28 epsilon 0.01
episode  294 score -316.00 average score -304.36 epsilon 0.01
episode  295 score -300.00 average score -304.36 epsilon 0.01
episode  296 score -308.00 average score -304.44 epsilon 0.01
episode  297 score -300.00 average score -304.40 epsilon 0.01
episode  298 score -304.00 average score -304.32 epsilon 0.01
episode  299 score -300.00 average score -304.24 epsilon 0.01
episode  300 score -308.00 average score -304.28 epsilon 0.01
episode  301 score -304.00 average score -304.24 epsilon 0.01
episode  302 score -304.00 average score -304.24 epsilon 0.01
episode  303 score -308.00 average score -304.28 epsilon 0.01
episode  304 score -300.00 average score -304.24 epsilon 0.01
episode  305 score -300.00 average score -304.24 epsilon 0.01
episode  306 score -300.00 average score -304.24 epsilon 0.01
episode  307 score -300.00 average score -304.24 epsilon 0.01
episode  308 score -304.00 average score -304.24 epsilon 0.01
episode  309 score -304.00 average score -304.24 epsilon 0.01
episode  310 score -300.00 average score -304.20 epsilon 0.01
episode  311 score -304.00 average score -304.20 epsilon 0.01
episode  312 score -300.00 average score -304.16 epsilon 0.01
episode  313 score -300.00 average score -304.12 epsilon 0.01
episode  314 score -308.00 average score -304.20 epsilon 0.01
episode  315 score -308.00 average score -304.28 epsilon 0.01
episode  316 score -300.00 average score -304.16 epsilon 0.01
episode  317 score -308.00 average score -304.16 epsilon 0.01
episode  318 score -304.00 average score -304.04 epsilon 0.01
episode  319 score -300.00 average score -304.04 epsilon 0.01
episode  320 score -304.00 average score -304.04 epsilon 0.01
episode  321 score -300.00 average score -303.96 epsilon 0.01
episode  322 score -300.00 average score -303.92 epsilon 0.01
episode  323 score -304.00 average score -303.92 epsilon 0.01
episode  324 score -304.00 average score -303.88 epsilon 0.01
episode  325 score -300.00 average score -303.72 epsilon 0.01
